question,answers,ctxs,nq_annotated_gold.title,nq_annotated_gold.long_answer,nq_annotated_gold.chunked_long_answer,nq_annotated_gold.short_answers
who got the first nobel prize in physics,['Wilhelm Conrad Röntgen'],"[{'title': 'List of Nobel laureates in Physics', 'text': 'The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen, of Germany, who received 150,782 SEK, which is equal to 7,731,004 SEK in December 2007.  John Bardeen is the only laureate to win the prize twice—in 1956 and 1972. Maria Skłodowska-Curie also won two Nobel Prizes, for physics in 1903 and chemistry in 1911. William Lawrence Bragg was, until October 2014, the youngest ever Nobel laureate; he won the prize in 1915 at the age of 25. Two women have won the prize: Curie and Maria Goeppert-Mayer (1963). As of 2017, the prize has been awarded', 'hasanswer': True, 'isgold': True}]",List of Nobel laureates in Physics,"The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen, of Germany, who received 150,782 SEK, which is equal to 7,731,004 SEK in December 2007. John Bardeen is the only laureate to win the prize twice—in 1956 and 1972. Maria Skłodowska-Curie also won two Nobel Prizes, for physics in 1903 and chemistry in 1911. William Lawrence Bragg was, until October 2014, the youngest ever Nobel laureate; he won the prize in 1915 at the age of 25. Two women have won the prize: Curie and Maria Goeppert-Mayer (1963). As of 2017, the prize has been awarded to 206 individuals. There have been six years in which the Nobel Prize in Physics was not awarded (1916, 1931, 1934, 1940–1942).","The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen, of Germany, who received 150,782 SEK, which is equal to 7,731,004 SEK in December 2007.  John Bardeen is the only laureate to win the prize twice—in 1956 and 1972. Maria Skłodowska-Curie also won two Nobel Prizes, for physics in 1903 and chemistry in 1911. William Lawrence Bragg was, until October 2014, the youngest ever Nobel laureate; he won the prize in 1915 at the age of 25. Two women have won the prize: Curie and Maria Goeppert-Mayer (1963). As of 2017, the prize has been awarded",['Wilhelm Conrad Röntgen']
when is the next deadpool movie being released,"['May 18, 2018']","[{'title': 'Deadpool 2', 'text': 'Deadpool 2 is scheduled to be released in the United States on May 18, 2018.  A sequel, Deadpool 3, is in development.', 'hasanswer': True, 'isgold': True}]",Deadpool 2,"Deadpool 2 is scheduled to be released in the United States on May 18, 2018. A sequel, Deadpool 3, is in development.","Deadpool 2 is scheduled to be released in the United States on May 18, 2018.  A sequel, Deadpool 3, is in development.","['May 18, 2018']"
the south west wind blows across nigeria between,['till September'],"[{'title': 'Geography of Nigeria', 'text': 'With the Intertropical Convergence Zone (ITCZ) swinging northward over West Africa from the Southern Hemisphere in April, heavy showers coming from pre-monsoonal convective clouds mainly in the form of squall lines also known as the north easterlies formed mainly as a result of the interactions of the two dominant airmasses in Nigeria known as the Maritime tropical(south westerlies) and the Continental tropical(north easterlies), begins in central Nigeria while the Monsoons from the south atlantic ocean arrives in central Nigeria in July bringing with it high humidity, heavy cloud cover and heavy rainfall which can be daily occurrence lasting till September when the monsoons gradually begin retreating southward to the southern part of Nigeria.', 'hasanswer': True, 'isgold': True}]",Geography of Nigeria,"With the Intertropical Convergence Zone (ITCZ) swinging northward over West Africa from the Southern Hemisphere in April, heavy showers coming from pre-monsoonal convective clouds mainly in the form of squall lines also known as the north easterlies formed mainly as a result of the interactions of the two dominant airmasses in Nigeria known as the Maritime tropical(south westerlies) and the Continental tropical(north easterlies), begins in central Nigeria while the Monsoons from the south atlantic ocean arrives in central Nigeria in July bringing with it high humidity, heavy cloud cover and heavy rainfall which can be daily occurrence lasting till September when the monsoons gradually begin retreating southward to the southern part of Nigeria.Rainfall totals in central Nigeria varies from 1,100 mm (43.3 in) in the lowlands of the river Niger Benue trough to over 2,000 mm (78.7 in) along the south western escarpment of the Jos Plateau.","With the Intertropical Convergence Zone (ITCZ) swinging northward over West Africa from the Southern Hemisphere in April, heavy showers coming from pre-monsoonal convective clouds mainly in the form of squall lines also known as the north easterlies formed mainly as a result of the interactions of the two dominant airmasses in Nigeria known as the Maritime tropical(south westerlies) and the Continental tropical(north easterlies), begins in central Nigeria while the Monsoons from the south atlantic ocean arrives in central Nigeria in July bringing with it high humidity, heavy cloud cover and heavy rainfall which can be daily occurrence lasting till September when the monsoons gradually begin retreating southward to the southern part of Nigeria.",['till September']
what does hp mean in war and order,['hit points or health points'],"[{'title': 'Health (gaming)', 'text': 'Health or vitality is an attribute assigned to entities, such as the player character, enemies and objects within a role-playing or video game, that indicates its state in combat. Health is usually measured in hit points or health points, shortened to HP.  When the HP of a player character reaches zero, the player may lose a life or their character might become incapacitated or die. When the HP of an enemy reaches zero, it may be defeated or die and the player is usually rewarded in some way.', 'hasanswer': True, 'isgold': True}]",Health (gaming),"Health or vitality is an attribute assigned to entities, such as the player character, enemies and objects within a role-playing or video game, that indicates its state in combat. Health is usually measured in hit points or health points, shortened to HP. When the HP of a player character reaches zero, the player may lose a life or their character might become incapacitated or die. When the HP of an enemy reaches zero, it may be defeated or die and the player is usually rewarded in some way.","Health or vitality is an attribute assigned to entities, such as the player character, enemies and objects within a role-playing or video game, that indicates its state in combat. Health is usually measured in hit points or health points, shortened to HP.  When the HP of a player character reaches zero, the player may lose a life or their character might become incapacitated or die. When the HP of an enemy reaches zero, it may be defeated or die and the player is usually rewarded in some way.",['hit points or health points']
who wrote the first declaration of human rights,['Cyrus'],"[{'title': 'Cyrus Cylinder', 'text': 'The Cylinder\'s text has traditionally been seen by biblical scholars as corroborative evidence of Cyrus\' policy of the repatriation of the Jewish people following their Babylonian captivity (an act that the Book of Ezra attributes to Cyrus), as the text refers to the restoration of cult sanctuaries and repatriation of deported peoples. This interpretation has been disputed, as the text identifies only Mesopotamian sanctuaries, and makes no mention of Jews, Jerusalem, or Judea. The Cylinder has also been referred to by Mohammad Reza Pahlavi, the last Shah of Iran as the first declaration of universal human rights, a view rejected by some historians as anachronistic and a misunderstanding of the Cylinder\'s generic nature as a typical statement made by a new monarch at the beginning of his reign. Neil MacGregor, Director of the British Museum, has stated that the cylinder was ""the first attempt we know about running a society, a state with different nationalities and faiths—a new kind of statecraft."" It was adopted as a national symbol of Iran by the Imperial State which put it on display in Tehran in 1971 to commemorate 2,500 year celebration of the Persian Empire. On October 14, the Mohammad Reza Shah\'s sister, Princess Ashraf Pahlavi, presented the United Nations Secretary General U Thant with a replica of the Cylinder. The princess asserted that ""the heritage of Cyrus was the heritage of human understanding, tolerance, courage, compassion and, above all, human liberty"".', 'hasanswer': True, 'isgold': True}]",Cyrus Cylinder,"The Cylinder's text has traditionally been seen by biblical scholars as corroborative evidence of Cyrus' policy of the repatriation of the Jewish people following their Babylonian captivity (an act that the Book of Ezra attributes to Cyrus), as the text refers to the restoration of cult sanctuaries and repatriation of deported peoples. This interpretation has been disputed, as the text identifies only Mesopotamian sanctuaries, and makes no mention of Jews, Jerusalem, or Judea. The Cylinder has also been referred to by Mohammad Reza Pahlavi, the last Shah of Iran as the first declaration of universal human rights, a view rejected by some historians as anachronistic and a misunderstanding of the Cylinder's generic nature as a typical statement made by a new monarch at the beginning of his reign. Neil MacGregor, Director of the British Museum, has stated that the cylinder was ""the first attempt we know about running a society, a state with different nationalities and faiths—a new kind of statecraft."" It was adopted as a national symbol of Iran by the Imperial State which put it on display in Tehran in 1971 to commemorate 2,500 year celebration of the Persian Empire. On October 14, the Mohammad Reza Shah's sister, Princess Ashraf Pahlavi, presented the United Nations Secretary General U Thant with a replica of the Cylinder. The princess asserted that ""the heritage of Cyrus was the heritage of human understanding, tolerance, courage, compassion and, above all, human liberty"".","The Cylinder's text has traditionally been seen by biblical scholars as corroborative evidence of Cyrus' policy of the repatriation of the Jewish people following their Babylonian captivity (an act that the Book of Ezra attributes to Cyrus), as the text refers to the restoration of cult sanctuaries and repatriation of deported peoples. This interpretation has been disputed, as the text identifies only Mesopotamian sanctuaries, and makes no mention of Jews, Jerusalem, or Judea. The Cylinder has also been referred to by Mohammad Reza Pahlavi, the last Shah of Iran as the first declaration of universal human rights, a view rejected by some historians as anachronistic and a misunderstanding of the Cylinder's generic nature as a typical statement made by a new monarch at the beginning of his reign. Neil MacGregor, Director of the British Museum, has stated that the cylinder was ""the first attempt we know about running a society, a state with different nationalities and faiths—a new kind of statecraft."" It was adopted as a national symbol of Iran by the Imperial State which put it on display in Tehran in 1971 to commemorate 2,500 year celebration of the Persian Empire. On October 14, the Mohammad Reza Shah's sister, Princess Ashraf Pahlavi, presented the United Nations Secretary General U Thant with a replica of the Cylinder. The princess asserted that ""the heritage of Cyrus was the heritage of human understanding, tolerance, courage, compassion and, above all, human liberty"".",['Cyrus']
who is the owner of reading football club,"['Xiu Li Dai', 'Dai Xiuli', 'Dai Yongge', 'Yongge Dai']","[{'title': 'Reading F.C.', 'text': 'Reading Football Club ownership structure: 75% Owned by Renhe Sports Management Ltd, 100% owned by Xiu Li Dai and Yongge Dai. 25% Owned by Narin Niruttinanon', 'hasanswer': True, 'isgold': True}]",Reading F.C.,"Reading Football Club ownership structure: 75% Owned by Renhe Sports Management Ltd, 100% owned by Xiu Li Dai and Yongge Dai. 25% Owned by Narin Niruttinanon","Reading Football Club ownership structure: 75% Owned by Renhe Sports Management Ltd, 100% owned by Xiu Li Dai and Yongge Dai. 25% Owned by Narin Niruttinanon","['Xiu Li Dai', 'Yongge Dai']"
when is the last time the philadelphia won the superbowl,"['Super Bowl LII,', '2017']","[{'title': 'Philadelphia Eagles', 'text': ""The Philadelphia Eagles are a professional American football franchise based in Philadelphia, Pennsylvania. The Eagles compete in the National Football League (NFL) as a member club of the league's National Football Conference (NFC) East division. They are Super Bowl champions, having won Super Bowl LII, their fourth NFL title, after winning in 1948, 1949, and 1960."", 'hasanswer': True, 'isgold': True}]",Philadelphia Eagles,"The Philadelphia Eagles are a professional American football franchise based in Philadelphia, Pennsylvania. The Eagles compete in the National Football League (NFL) as a member club of the league's National Football Conference (NFC) East division. They are Super Bowl champions, having won Super Bowl LII, their fourth NFL title, after winning in 1948, 1949, and 1960.","The Philadelphia Eagles are a professional American football franchise based in Philadelphia, Pennsylvania. The Eagles compete in the National Football League (NFL) as a member club of the league's National Football Conference (NFC) East division. They are Super Bowl champions, having won Super Bowl LII, their fourth NFL title, after winning in 1948, 1949, and 1960.","['Super Bowl LII,']"
how many episodes are there in dragon ball z,"['291 episodes', '291']","[{'title': 'List of Dragon Ball Z episodes', 'text': ""long-running anime sequel to the Dragon Ball TV series, adapted from the final twenty-six volumes of the Dragon Ball manga written by Akira Toriyama. The manga portion of the series debuted in Weekly Shōnen Jump in October 4, 1988 and lasted until 1995; the anime adaptation premiered in Japan on Fuji Television on April 26, 1989, taking over its predecessor's time slot, and ran until its end on January 31, 1996, lasting 291 episodes in Japan, and 276 episodes in the United States originally, although all 291 episodes were later broadcast when content from the first 67 episodes was restored."", 'hasanswer': True, 'isgold': True}]",List of Dragon Ball Z episodes,"Dragon Ball Z (ドラゴンボールゼット, Doragon Bōru Zetto, commonly abbreviated as DBZ) is the long-running anime sequel to the Dragon Ball TV series, adapted from the final twenty-six volumes of the Dragon Ball manga written by Akira Toriyama. The manga portion of the series debuted in Weekly Shōnen Jump in October 4, 1988 and lasted until 1995; the anime adaptation premiered in Japan on Fuji Television on April 26, 1989, taking over its predecessor's time slot, and ran until its end on January 31, 1996, lasting 291 episodes in Japan, and 276 episodes in the United States originally, although all 291 episodes were later broadcast when content from the first 67 episodes was restored.","long-running anime sequel to the Dragon Ball TV series, adapted from the final twenty-six volumes of the Dragon Ball manga written by Akira Toriyama. The manga portion of the series debuted in Weekly Shōnen Jump in October 4, 1988 and lasted until 1995; the anime adaptation premiered in Japan on Fuji Television on April 26, 1989, taking over its predecessor's time slot, and ran until its end on January 31, 1996, lasting 291 episodes in Japan, and 276 episodes in the United States originally, although all 291 episodes were later broadcast when content from the first 67 episodes was restored.","['291', '291 episodes']"
who designed the garden city of new earswick,"['planner Raymond Unwin', 'architect Barry Parker', 'Raymond Unwin']","[{'title': 'New Earswick', 'text': ""As a result of the report, Joseph Rowntree's conviction that it must be possible to provide better housing for people on low incomes led him to acquire 150 acres of land near the village of Earswick, two and a half miles to the north of the centre of York. The planner Raymond Unwin and the architect Barry Parker were commissioned to produce an overall plan for a new 'garden' village and the detailed designs for its first houses.  They also designed the garden cities of Letchworth and Welwyn Garden City."", 'hasanswer': True, 'isgold': True}]",New Earswick,"As a result of the report, Joseph Rowntree's conviction that it must be possible to provide better housing for people on low incomes led him to acquire 150 acres of land near the village of Earswick, two and a half miles to the north of the centre of York. The planner Raymond Unwin and the architect Barry Parker were commissioned to produce an overall plan for a new 'garden' village and the detailed designs for its first houses. They also designed the garden cities of Letchworth and Welwyn Garden City.","As a result of the report, Joseph Rowntree's conviction that it must be possible to provide better housing for people on low incomes led him to acquire 150 acres of land near the village of Earswick, two and a half miles to the north of the centre of York. The planner Raymond Unwin and the architect Barry Parker were commissioned to produce an overall plan for a new 'garden' village and the detailed designs for its first houses.  They also designed the garden cities of Letchworth and Welwyn Garden City.","['Raymond Unwin', 'architect Barry Parker', 'planner Raymond Unwin']"
what is the first step in the evolution of the eye,"['photoreceptor proteins that sense light', 'eyespots']","[{'title': 'Evolution of the eye', 'text': 'The earliest predecessors of the eye were photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots"".  Eyespots can only sense ambient brightness: they can distinguish light from dark, sufficient for photoperiodism and daily synchronization of circadian rhythms. They are insufficient for vision, as they cannot distinguish shapes or determine the direction light is coming from. Eyespots are found in nearly all major animal groups, and are common among unicellular organisms, including euglena. The euglena\'s eyespot, called a stigma, is located at its anterior end. It is a small splotch of red pigment which shades a collection of', 'hasanswer': True, 'isgold': True}]",Evolution of the eye,"The earliest predecessors of the eye were photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots"". Eyespots can only sense ambient brightness: they can distinguish light from dark, sufficient for photoperiodism and daily synchronization of circadian rhythms. They are insufficient for vision, as they cannot distinguish shapes or determine the direction light is coming from. Eyespots are found in nearly all major animal groups, and are common among unicellular organisms, including euglena. The euglena's eyespot, called a stigma, is located at its anterior end. It is a small splotch of red pigment which shades a collection of light sensitive crystals. Together with the leading flagellum, the eyespot allows the organism to move in response to light, often toward the light to assist in photosynthesis, and to predict day and night, the primary function of circadian rhythms. Visual pigments are located in the brains of more complex organisms, and are thought to have a role in synchronising spawning with lunar cycles. By detecting the subtle changes in night-time illumination, organisms could synchronise the release of sperm and eggs to maximise the probability of fertilisation.","The earliest predecessors of the eye were photoreceptor proteins that sense light, found even in unicellular organisms, called ""eyespots"".  Eyespots can only sense ambient brightness: they can distinguish light from dark, sufficient for photoperiodism and daily synchronization of circadian rhythms. They are insufficient for vision, as they cannot distinguish shapes or determine the direction light is coming from. Eyespots are found in nearly all major animal groups, and are common among unicellular organisms, including euglena. The euglena's eyespot, called a stigma, is located at its anterior end. It is a small splotch of red pigment which shades a collection of","['eyespots', 'photoreceptor proteins that sense light']"
