feature_1,feature_2,n,spearman_rho,abs_rho,p_value,strength,direction
evidence_overlap_ratio,evid_overlap_emb,20,1.0,1.0,0.0,strong,+
evidence_overlap_ratio,evidence_overlap_emb,20,1.0,1.0,0.0,strong,+
evid_overlap_emb,evidence_overlap_emb,20,1.0,1.0,0.0,strong,+
hallucination_score,chunk_hallu_score,20,-1.0,1.0,0.0,strong,-
seq_len,dist_len,20,0.9981196644178427,0.9981196644178427,2.771547251175473e-23,strong,+
interference_score_lexical_wrt_distractors,interference_token_hits,20,0.9604536805702424,0.9604536805702424,1.94605137862439e-11,strong,+
distractor_density_chunk,dist_len,20,0.9052143903798646,0.9052143903798646,4.140252682270446e-08,strong,+
distractor_density_chunk,seq_len,20,0.9048740202266848,0.9048740202266848,4.270546203260963e-08,strong,+
att_avg_entropy,distractor_attention_max,20,0.7954887218045112,0.7954887218045112,2.7534156851806318e-05,strong,+
total_response_tokens,resp_len,20,0.7787810383747178,0.7787810383747178,5.226114679182488e-05,strong,+
interference_score_lexical_wrt_distractors,att_avg_entropy,20,0.7669172932330827,0.7669172932330827,7.978155088069932e-05,strong,+
interference_token_hits,hallucination_score,20,0.7465173313294982,0.7465173313294982,0.00015645856106674574,strong,+
interference_token_hits,chunk_hallu_score,20,-0.7465173313294982,0.7465173313294982,0.00015645856106674574,strong,-
interference_score_lexical_wrt_distractors,hallucination_score,20,0.7308270676691728,0.7308270676691728,0.00025215134150965545,strong,+
interference_score_lexical_wrt_distractors,chunk_hallu_score,20,-0.7308270676691728,0.7308270676691728,0.00025215134150965545,strong,-
interference_token_hits,att_avg_entropy,20,0.7299447972333841,0.7299447972333841,0.0002587619389040026,strong,+
hallu_score,distractor_attention_max,20,0.6917293233082705,0.6917293233082705,0.0007284845298314546,moderate,+
evidence_overlap_ratio,att_avg_entropy,20,-0.6902255639097743,0.6902255639097743,0.0007563948378339721,moderate,-
evid_overlap_emb,att_avg_entropy,20,-0.6902255639097743,0.6902255639097743,0.0007563948378339721,moderate,-
att_avg_entropy,evidence_overlap_emb,20,-0.6902255639097743,0.6902255639097743,0.0007563948378339721,moderate,-
hallu_score,att_avg_entropy,20,0.6887218045112782,0.6887218045112782,0.0007852045694487572,moderate,+
att_avg_entropy,distractor_density_chunk,20,0.6614138843897532,0.6614138843897532,0.0014942465538282281,moderate,+
interference_score_lexical_wrt_distractors,evidence_overlap_ratio,20,-0.6541353383458646,0.6541353383458646,0.0017551954128432132,moderate,-
interference_score_lexical_wrt_distractors,evid_overlap_emb,20,-0.6541353383458646,0.6541353383458646,0.0017551954128432132,moderate,-
interference_score_lexical_wrt_distractors,evidence_overlap_emb,20,-0.6541353383458646,0.6541353383458646,0.0017551954128432132,moderate,-
evidence_overlap_ratio,distractor_attention_max,20,-0.6511278195488721,0.6511278195488721,0.0018736439667456604,moderate,-
evid_overlap_emb,distractor_attention_max,20,-0.6511278195488721,0.6511278195488721,0.0018736439667456604,moderate,-
distractor_attention_max,evidence_overlap_emb,20,-0.6511278195488721,0.6511278195488721,0.0018736439667456604,moderate,-
hallu_score,resp_len,20,0.643098954843448,0.643098954843448,0.0022230760605130634,moderate,+
hallu_score,evid_overlap_ngram,20,-0.6227451433103401,0.6227451433103401,0.003359793301520199,moderate,-
interference_score_lexical_wrt_distractors,distractor_attention_max,20,0.5984962406015037,0.5984962406015037,0.005305836200418917,moderate,+
hallu_score,seq_len,20,0.5714285714285714,0.5714285714285714,0.008489085694766677,moderate,+
interference_token_hits,evidence_overlap_emb,20,-0.5702458323071948,0.5702458323071948,0.00865753372413843,moderate,-
evidence_overlap_ratio,interference_token_hits,20,-0.5702458323071947,0.5702458323071947,0.00865753372413843,moderate,-
evid_overlap_emb,interference_token_hits,20,-0.5702458323071947,0.5702458323071947,0.00865753372413843,moderate,-
evidence_overlap_ratio,hallu_score,20,-0.5578947368421052,0.5578947368421052,0.010585028447546954,moderate,-
hallu_score,evid_overlap_emb,20,-0.5578947368421052,0.5578947368421052,0.010585028447546954,moderate,-
hallu_score,evidence_overlap_emb,20,-0.5578947368421052,0.5578947368421052,0.010585028447546954,moderate,-
hallu_score,dist_len,20,0.5558481024904188,0.5558481024904188,0.010935664979609678,moderate,+
hallu_score,distractor_density_chunk,20,0.5525631069336506,0.5525631069336506,0.011518103914311996,moderate,+
interference_token_hits,distractor_attention_max,20,0.5227881210319594,0.5227881210319594,0.0180281202563134,moderate,+
interference_token_hits,resp_len,20,0.5214776081010696,0.5214776081010696,0.01837094295107355,moderate,+
att_avg_entropy,seq_len,20,0.4827067669172932,0.4827067669172932,0.031105216869543383,moderate,+
att_avg_entropy,dist_len,20,0.47010157517795903,0.47010157517795903,0.03647421889609527,moderate,+
att_avg_entropy,hallucination_score,20,0.4676691729323308,0.4676691729323308,0.03758851020414888,moderate,+
att_avg_entropy,chunk_hallu_score,20,-0.4676691729323308,0.4676691729323308,0.03758851020414888,moderate,-
att_avg_entropy,resp_len,20,0.4460323745288476,0.4460323745288476,0.04870263511475682,moderate,+
distractor_attention_max,resp_len,20,0.43700642428543074,0.43700642428543074,0.05402052272142274,moderate,+
distractor_attention_max,distractor_density_chunk,20,0.4295866560672141,0.4295866560672141,0.058714241699305024,moderate,+
interference_score_lexical_wrt_distractors,resp_len,20,0.42346749892030544,0.42346749892030544,0.06281260675312439,moderate,+
evidence_overlap_ratio,evid_overlap_ngram,20,0.4098602463879488,0.4098602463879488,0.07269653109603871,moderate,+
evid_overlap_ngram,evid_overlap_emb,20,0.4098602463879488,0.4098602463879488,0.07269653109603871,moderate,+
evid_overlap_ngram,evidence_overlap_emb,20,0.4098602463879488,0.4098602463879488,0.07269653109603871,moderate,+
hallu_score,interference_token_hits,20,0.40753367936353024,0.40753367936353024,0.07449659536021544,moderate,+
evidence_overlap_ratio,hallucination_score,20,-0.40751879699248117,0.40751879699248117,0.07450821585547025,moderate,-
evidence_overlap_ratio,chunk_hallu_score,20,0.40751879699248117,0.40751879699248117,0.07450821585547025,moderate,+
evid_overlap_emb,hallucination_score,20,-0.40751879699248117,0.40751879699248117,0.07450821585547025,moderate,-
evid_overlap_emb,chunk_hallu_score,20,0.40751879699248117,0.40751879699248117,0.07450821585547025,moderate,+
hallucination_score,evidence_overlap_emb,20,-0.40751879699248117,0.40751879699248117,0.07450821585547025,moderate,-
chunk_hallu_score,evidence_overlap_emb,20,0.40751879699248117,0.40751879699248117,0.07450821585547025,moderate,+
interference_score_lexical_wrt_distractors,hallu_score,20,0.39999999999999997,0.39999999999999997,0.08055387210850923,weak,+
seq_len,resp_len,20,0.39864613575090924,0.39864613575090924,0.08168001962574345,weak,+
resp_len,dist_len,20,0.37471783295711053,0.37471783295711053,0.10355989326548692,weak,+
distractor_density_chunk,resp_len,20,0.373224298696565,0.373224298696565,0.10505385554211956,weak,+
distractor_attention_max,seq_len,20,0.3714285714285714,0.3714285714285714,0.10687070696592833,weak,+
distractor_attention_max,dist_len,20,0.36479882233809624,0.36479882233809624,0.11377550964778038,weak,+
evid_overlap_ngram,att_avg_entropy,20,-0.3628892015153928,0.3628892015153928,0.115822532202003,weak,-
evid_overlap_ngram,distractor_attention_max,20,-0.3242517291202257,0.3242517291202257,0.16309106015050406,weak,-
evidence_overlap_ratio,distractor_density_chunk,20,-0.322397722541739,0.322397722541739,0.16564984276810335,weak,-
evid_overlap_emb,distractor_density_chunk,20,-0.322397722541739,0.322397722541739,0.16564984276810335,weak,-
distractor_density_chunk,evidence_overlap_emb,20,-0.322397722541739,0.322397722541739,0.16564984276810335,weak,-
interference_token_hits,distractor_density_chunk,20,0.31801051774787403,0.31801051774787403,0.1718143172900797,weak,+
evidence_overlap_ratio,dist_len,20,-0.29259122039076174,0.29259122039076174,0.2106168997531179,weak,-
evid_overlap_emb,dist_len,20,-0.29259122039076174,0.29259122039076174,0.2106168997531179,weak,-
evidence_overlap_emb,dist_len,20,-0.29259122039076174,0.29259122039076174,0.2106168997531179,weak,-
evidence_overlap_ratio,seq_len,20,-0.29172932330827067,0.29172932330827067,0.21202623258054837,weak,-
evid_overlap_emb,seq_len,20,-0.29172932330827067,0.29172932330827067,0.21202623258054837,weak,-
evidence_overlap_emb,seq_len,20,-0.29172932330827067,0.29172932330827067,0.21202623258054837,weak,-
hallu_score,total_response_tokens,20,0.2910868953501923,0.2910868953501923,0.21308073967518698,weak,+
evidence_overlap_ratio,resp_len,20,-0.2880782452690533,0.2880782452690533,0.21806524569971747,weak,-
evid_overlap_emb,resp_len,20,-0.2880782452690533,0.2880782452690533,0.21806524569971747,weak,-
evidence_overlap_emb,resp_len,20,-0.2880782452690533,0.2880782452690533,0.21806524569971747,weak,-
evid_overlap_ngram,hallucination_score,20,0.2871294517209475,0.2871294517209475,0.21965287820042656,weak,+
evid_overlap_ngram,chunk_hallu_score,20,-0.2871294517209475,0.2871294517209475,0.21965287820042656,weak,-
distractor_attention_max,hallucination_score,20,0.26616541353383455,0.26616541353383455,0.25667084540254065,weak,+
distractor_attention_max,chunk_hallu_score,20,-0.26616541353383455,0.26616541353383455,0.25667084540254065,weak,-
interference_score_lexical_wrt_distractors,distractor_density_chunk,20,0.2509384335247556,0.2509384335247556,0.2858973289975042,weak,+
evid_overlap_ngram,resp_len,20,-0.24403815525703998,0.24403815525703998,0.2997908008141976,weak,-
evid_overlap_ngram,distractor_density_chunk,20,-0.240288125252605,0.240288125252605,0.3075107888675767,weak,-
evid_overlap_ngram,seq_len,20,-0.2318248343710025,0.2318248343710025,0.3253707095049817,weak,-
total_response_tokens,seq_len,20,0.22790524364627454,0.22790524364627454,0.3338465269041696,weak,+
total_response_tokens,interference_token_hits,20,0.2241901566619483,0.2241901566619483,0.34199897391925427,weak,+
total_response_tokens,distractor_density_chunk,20,0.21196480215506472,0.21196480215506472,0.36963683368873534,weak,+
evid_overlap_ngram,dist_len,20,-0.2114492090581185,0.2114492090581185,0.3708295492637459,weak,-
total_response_tokens,dist_len,20,0.20240782543265612,0.20240782543265612,0.39209743190997837,weak,+
interference_score_lexical_wrt_distractors,evid_overlap_ngram,20,-0.15909547456833506,0.15909547456833506,0.5028761734097706,weak,-
evidence_overlap_ratio,total_response_tokens,20,0.1263633034078354,0.1263633034078354,0.5955140480137089,weak,+
evid_overlap_emb,total_response_tokens,20,0.1263633034078354,0.1263633034078354,0.5955140480137089,weak,+
total_response_tokens,evidence_overlap_emb,20,0.1263633034078354,0.1263633034078354,0.5955140480137089,weak,+
hallucination_score,distractor_density_chunk,20,0.10968169942141635,0.10968169942141635,0.6452859453381817,weak,+
distractor_density_chunk,chunk_hallu_score,20,-0.10968169942141635,0.10968169942141635,0.6452859453381817,weak,-
hallucination_score,resp_len,20,0.10755924040071703,0.10755924040071703,0.6517298655038586,weak,+
chunk_hallu_score,resp_len,20,-0.10755924040071703,0.10755924040071703,0.6517298655038586,weak,-
total_response_tokens,hallucination_score,20,-0.10530275283986283,0.10530275283986283,0.6586068598006171,weak,-
total_response_tokens,chunk_hallu_score,20,0.10530275283986283,0.10530275283986283,0.6586068598006171,weak,+
interference_token_hits,seq_len,20,0.0775895914499882,0.0775895914499882,0.7450757225658999,weak,+
interference_token_hits,dist_len,20,0.07385087513570061,0.07385087513570061,0.7569960607432197,weak,+
interference_score_lexical_wrt_distractors,total_response_tokens,20,0.0676946268256261,0.0676946268256261,0.776738799330136,weak,+
hallucination_score,seq_len,20,-0.06165413533834586,0.06165413533834586,0.7962393511384775,weak,-
